,Character,Background,Relation,Camera Pose,HDR Description,PSNR Score,Inception Score
fashion_designer,0.40900104592243824,0.2643347491820653,0.1486681818341216,0.1058175935720404,0.07217842920993767,26.12425825392868,7.910827116061791
artist,0.33099862883488335,0.24811650663614276,0.19509971141815186,0.1498629008730252,0.07592225166348122,28.166976953115945,7.792611673616498
pianist,0.3338868935902914,0.25724069178104403,0.19294174611568451,0.13311405512504282,0.08281661466074487,25.692350860042037,7.544600270422563
cyclist,0.47088784277439105,0.24901185060540834,0.14863299982001385,0.08350926591083407,0.047958049954225625,22.86676660941836,7.695843268539025
scientist,0.38447074840466167,0.26164121776819227,0.1658113971352577,0.11669968018929162,0.07137694073220094,29.89300155054178,7.366490916324811
botanist,0.42878393133481346,0.24622917994856833,0.1512323188285033,0.10818051199118295,0.06557404565004013,27.621238476610273,7.8066032722158125
conservationist,0.42819148600101475,0.24249887814124427,0.159390181923906,0.10153918905804557,0.06838026695574324,28.092514535343547,7.742936759435558
technologist,0.4486388618747393,0.2288495401541392,0.1536151405113439,0.10237534128439923,0.06652110921374212,26.823700967603845,7.554905175740094
chef,0.41035877764225,0.2589005107680957,0.15815810350080334,0.10457194515814383,0.06801066702852648,27.00714334288967,7.411749013311391
mary_life_2,0.3548692415157953,0.2543589894970258,0.1808220236251752,0.1342074471215407,0.07574229712287583,27.687782180467003,8.011839661893738
