,Average Clip Score,Average PSNR Score,Average Inception Score
with_EP_with_IP,0.1111245445907116,25.785742634680386,7.51940086940588
with_EP_without_IP,0.1145664781332016,24.326511147972774,7.578339447989166
without_EP_with_IP,0.12233913665016492,23.92280593418321,7.452072295029911
without_EP_without_IP,0.1145664781332016,24.326511147972774,7.462364307799325
