Clip Score,PSNR Score,Inception Score
0.09297583997249603,16.13576848169711,5.005455061115573
0.10578365623950958,16.01167622825895,9.070366835561565
0.11322261393070221,22.854680059299188,5.575069714674523
0.09952203929424286,26.819382657520585,6.417935165074928
0.12912802398204803,16.126361409219964,9.728956496426909
0.15625035762786865,20.80030116798708,7.894457725076327
0.15096351504325867,20.582324912224898,7.463891347177979
0.12520384788513184,23.090853429952414,9.036119933970397
0.11100494861602783,18.80900330496562,9.88785062540968
0.10186781734228134,21.570658895715138,9.913769086385214
0.11367224901914597,31.84273631173083,5.6250699514074585
0.10585368424654007,23.329046101841108,5.687522915626047
0.11444824934005737,15.405700397701496,8.072827485382781
0.08877713978290558,21.314551866064807,9.60216101556407
0.10353341698646545,24.912420278652586,7.420931553090584
0.10972808301448822,40.382838147720655,6.3974389972558185
0.11787545680999756,28.4016949630727,8.653839993935629
0.09876926988363266,22.02624285748728,5.232983263183685
0.11525370925664902,35.174349991694086,5.615839915840224
0.09926892817020416,27.59591018810006,6.355374561568069
0.11130771040916443,17.23274953229733,9.949204459317546
0.10610410571098328,17.844122311946116,7.9086213154598095
0.12504848837852478,19.464998907468736,9.677359415399089
0.11009691655635834,31.33338751302006,5.838462453976463
0.12776438891887665,25.89984416313483,7.202830971522659
0.11009320616722107,25.979673842383487,9.249757971550574
0.13316859304904938,30.483126006020402,8.06802563223497
0.13016000390052795,20.054708753971276,5.274566455345969
0.127191424369812,36.191784511366436,6.48247193534934
0.10295666009187698,32.12443724666807,5.561766980095878
0.1145664781332016,24.326511147972774,7.462364307799325
"Average Scores - Clip: 0.1145664781332016, PSNR: 24.326511147972774, Inception: 7.462364307799325",,
