,Character,Background,Relation,Camera Pose,HDR Description
VGoT,0.39792388916015625,0.23836169070874647,0.15405624091314776,0.10635443263997635,0.06997041459660978
CogVideo,0.4113278259336949,0.24315570684770743,0.16317419724228482,0.11219804058472319,0.07014423525814587
VideoCrafter1,0.43650593201319376,0.24172831819703183,0.1535340576898307,0.10315869327612745,0.06507299842544853
VideoCrafter2,0.4000087457895279,0.25111821144819263,0.16543718047129613,0.11398779302835464,0.06944806721915182
EasyAnimate,0.4086351649463177,0.24292616806924344,0.16331665604220083,0.1129648921910363,0.07215711782492387
